# Logfile created on 2020-01-15 03:34:49 +0000 by logger.rb/56438
[2020-01-15T03:34:50+00:00] INFO: Started chef-zero at chefzero://localhost:1 with repository at /opt/gitlab/embedded
  One version per cookbook

[2020-01-15T03:34:50+00:00] INFO: *** Chef 13.6.4 ***
[2020-01-15T03:34:50+00:00] INFO: Platform: x86_64-linux
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/rack_attack.rb.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-control-t.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-log-config.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-status.conf.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/postgresql-init.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-log-config.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-log-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-monitor-log-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-node-exporter-log-config.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-postgres-exporter-log-config.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/smtp_settings.rb.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-postgres-exporter-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/secret_token.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-prometheus-log-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/remote_syslog.yml.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-exporter-log-config.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-finish.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-log-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-node-exporter-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-log-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-exporter-log-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-prometheus-log-config.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-prometheus-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-node-exporter-log-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-log-config.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-storage-check-log-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-exporter-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-control-h.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-log-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-log-config.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-log-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/workhorse-config.toml.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-log-config.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-postgres-exporter-log-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/definitions/sidekiq_service.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-log-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/definitions/unicorn_service.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-log-config.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_mattermost.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/definitions/redis_service.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_pages.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-storage-check-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_shell.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-control-t.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-storage-check-log-config.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/base_pg_helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/geo_pg_helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-log-run.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/unicorn.rb.erb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/attributes/default.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/logging.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/account_helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/postgresql.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/prometheus.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/definitions/unicorn_config.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/base_helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/redis_helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/incoming_email.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/registry.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_workhorse.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/unicorn.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/authorizer_helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/gitlab_rails.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/certificate_helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/config/gitlab.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/pg_helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/consul.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/default.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/helpers/gitlab_rails.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/geo_secondary.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/redis.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/nginx.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/redis_master.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/attributes/default.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/prometheus_helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/metadata.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/redis_uri.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/handlers/gitlab.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/postgres.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/config/services.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/output_helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/geo_primary.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/roles_helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/application.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/services_helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/settings_helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/pgbouncer.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/version_helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/redis_sentinel.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/libraries/storage_directory_helper.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/resources/account.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/gitlab/libraries/storage_check.rb in the cache.
[2020-01-15T03:34:53+00:00] INFO: Storing updated cookbooks/package/resources/storage_directory.rb in the cache.
